1,1,14,2
2,4,2,4
3,4,1,4
4,4,18,4
5,4,12,4
6,4,8,4
7,1,11,5
8,1,19,5
9,1,6,5
10,4,9,4
11,4,2,4
12,4,15,6
13,4,7,6
14,4,2,4
15,4,20,4
16,4,15,7
17,4,15,8
18,4,1,4
19,4,5,4
20,4,5,4
21,4,6,9
22,4,19,10
23,4,13,11
24,4,10,11
25,4,10,11
26,4,3,11
27,4,17,7
28,4,5,4
29,4,5,4
30,4,9,12
31,4,4,12
32,5,19,14
33,7,13,17
34,7,10,17
35,7,3,17
36,7,17,17
37,7,9,17
38,7,5,17
39,7,4,17
40,7,14,17
41,7,11,18
42,7,2,16
43,7,2,16
44,7,2,16
45,7,2,16
46,7,2,16
47,7,2,16
48,7,2,16
49,7,2,16
50,7,2,16
51,7,2,16
52,7,2,16
53,7,2,16
54,7,2,16
55,7,2,16
56,7,2,16
57,7,2,16
58,7,2,16
59,7,2,16
60,7,2,16
61,7,2,16
62,7,2,16
63,7,12,16
64,7,12,16
65,7,12,16
66,7,12,16
67,7,12,16
68,7,12,16
69,7,12,16
70,7,12,16
71,7,12,16
72,7,12,16
73,7,12,16
74,7,12,16
75,7,12,16
76,7,12,16
77,7,15,16
78,7,15,19
79,7,7,19
80,7,2,19
82,7,6,16
83,7,1,16
84,7,5,16
85,7,2,16
86,7,1,16
87,7,18,16
88,7,1,18
89,7,2,18
90,7,8,18
91,1,19,5
92,1,16,5
93,1,4,5
94,6,13,21
95,6,10,21
96,6,3,21
97,6,17,21
98,6,4,21
99,6,5,21
100,6,14,22
101,6,11,22
102,6,2,22
103,6,18,22
104,6,5,22
105,6,12,22
106,6,3,22
107,6,15,23
108,6,7,23
109,6,20,23
110,6,5,23
111,6,6,23
112,6,1,23
113,1,19,5
114,5,2,14
115,5,1,14
116,5,18,14
117,5,1,14
118,5,12,14
119,5,8,14
120,5,9,14
121,5,2,14
122,5,15,26
123,5,7,26
124,5,2,14
125,5,20,14
126,5,5,26
127,5,6,26
128,5,6,26
129,5,6,26
130,5,1,26
131,5,1,26
132,5,13,29
133,5,10,29
134,5,3,29
135,5,17,29
136,5,4,29
137,5,9,29
138,5,5,29
139,2,2,3
140,2,1,3
141,2,18,3
142,2,1,3
143,2,3,3
144,2,12,3
145,2,8,3
146,2,9,3
147,2,2,3
148,2,13,30
149,2,10,30
150,2,2,30
151,2,3,30
152,2,17,30
153,2,9,30
154,2,4,30
155,2,5,30
156,2,14,31
157,2,11,31
158,2,2,31
159,2,18,31
160,2,12,31
161,2,5,31
162,2,3,31
163,2,15,32
164,5,14,33
165,5,11,33
166,2,7,3
167,5,2,14
168,2,2,3
169,2,20,3
170,5,18,14
171,2,6,3
172,2,5,3
173,2,1,3
174,5,5,33
175,5,12,33
176,5,3,33
177,1,1,35
178,1,2,35
179,1,14,35
180,1,11,36
181,1,18,36
182,1,14,36
183,1,8,36
184,1,12,36
185,1,16,36
186,1,4,36
187,1,13,36
188,1,9,37
189,1,20,37
190,1,20,37
